Source_lat,Source_lon,Target_lat,Target_lon,Frequency per week
12.95,77.668,23.887,91.24,7
28.567,77.103,23.887,91.24,7
26.106,91.586,23.887,91.24,25
24.76,93.897,23.887,91.24,7
22.655,88.447,23.887,91.24,77
10.152,76.402,10.824,72.176,14
19.863,75.398,23.077,72.635,13
26.681,88.329,23.077,72.635,13
12.95,77.668,23.077,72.635,76
15.859,74.618,23.077,72.635,7
21.752,72.185,23.077,72.635,6
23.287,77.337,23.077,72.635,14
20.244,85.818,23.077,72.635,7
30.673,76.789,23.077,72.635,27
12.907,80.122,23.077,72.635,55
10.152,76.402,23.077,72.635,14
30.19,78.18,23.077,72.635,13
28.567,77.103,23.077,72.635,172
20.713,70.921,23.077,72.635,6
15.381,73.831,23.077,72.635,27
26.106,91.586,23.077,72.635,6
15.362,75.085,23.077,72.635,7
17.453,78.468,23.077,72.635,59
22.7281,75.8042,23.077,72.635,40
23.178,80.052,23.077,72.635,6
26.824,75.812,23.077,72.635,39
26.889,70.865,23.077,72.635,12
20.9614,75.6192,23.077,72.635,7
26.251,73.049,23.077,72.635,13
23.113,70.1,23.077,72.635,13
26.441,80.365,23.077,72.635,6
26.5894,74.8171,23.077,72.635,6
22.655,88.447,23.077,72.635,29
26.761,80.889,23.077,72.635,29
28.905,77.677,23.077,72.635,6
19.089,72.868,23.077,72.635,88
21.0901,79.0548,23.077,72.635,13
20.1129,73.8938,23.077,72.635,13
25.591,85.088,23.077,72.635,6
21.649,69.657,23.077,72.635,7
18.582,73.92,23.077,72.635,41
33.987,74.774,23.077,72.635,7
24.618,73.896,23.077,72.635,6
25.452,82.859,23.077,72.635,20
23.077,72.635,21.752,72.185,6
21.114,72.742,21.752,72.185,6
23.077,72.635,21.649,69.657,7
19.089,72.868,21.649,69.657,7
19.089,72.868,22.466,70.013,7
28.567,77.103,22.309,70.78,14
19.089,72.868,22.309,70.78,21
19.089,72.868,23.288,69.67,7
23.077,72.635,23.113,70.1,12
19.089,72.868,23.113,70.1,7
12.95,77.668,21.114,72.742,14
21.752,72.185,21.114,72.742,6
12.907,80.122,21.114,72.742,14
28.567,77.103,21.114,72.742,42
15.381,73.831,21.114,72.742,21
17.453,78.468,21.114,72.742,14
26.824,75.812,21.114,72.742,10
26.889,70.865,21.114,72.742,7
22.655,88.447,21.114,72.742,28
19.089,72.868,21.114,72.742,7
21.0901,79.0548,21.114,72.742,7
24.618,73.896,21.114,72.742,7
12.95,77.668,22.336,73.226,15
28.567,77.103,22.336,73.226,49
17.453,78.468,22.336,73.226,7
19.089,72.868,22.336,73.226,22
21.0901,79.0548,22.336,73.226,14
26.106,91.586,23.841,92.62,14
24.76,93.897,23.841,92.62,4
22.655,88.447,23.841,92.62,21
26.824,75.812,27.156,77.961,4
23.287,77.337,25.44,81.734,7
12.95,77.668,25.44,81.734,7
28.567,77.103,25.44,81.734,28
22.655,88.447,25.44,81.734,21
19.089,72.868,25.44,81.734,7
21.18,81.739,25.44,81.734,21
12.95,77.668,26.74,83.45,7
28.567,77.103,26.74,83.45,14
17.453,78.468,26.74,83.45,7
22.655,88.447,26.74,83.45,7
19.089,72.868,26.74,83.45,7
15.362,75.085,28.708,77.359,3
29.5967,80.2363,28.708,77.359,7
23.077,72.635,26.441,80.365,6
28.567,77.103,26.441,80.365,7
19.089,72.868,26.441,80.365,14
23.077,72.635,26.761,80.889,36
12.95,77.668,26.761,80.889,41
12.907,80.122,26.761,80.889,7
30.19,78.18,26.761,80.889,6
28.567,77.103,26.761,80.889,147
15.381,73.831,26.761,80.889,8
17.453,78.468,26.761,80.889,20
22.655,88.447,26.761,80.889,28
19.089,72.868,26.761,80.889,63
25.591,85.088,26.761,80.889,14
18.582,73.92,26.761,80.889,7
33.987,74.774,26.761,80.889,7
23.077,72.635,25.452,82.859,19
23.077,72.635,25.452,82.859,13
12.95,77.668,25.452,82.859,27
20.244,85.818,25.452,82.859,7
12.907,80.122,25.452,82.859,18
30.19,78.18,25.452,82.859,3
28.567,77.103,25.452,82.859,127
24.744,84.951,25.452,82.859,15
17.453,78.468,25.452,82.859,36
26.824,75.812,25.452,82.859,11
24.817,79.919,25.452,82.859,12
22.655,88.447,25.452,82.859,33
19.089,72.868,25.452,82.859,56
28.567,77.103,31.434,75.759,7
12.95,77.668,31.71,74.797,7
30.19,78.18,31.71,74.797,2
28.567,77.103,31.71,74.797,87
17.453,78.468,31.71,74.797,7
26.824,75.812,31.71,74.797,7
22.655,88.447,31.71,74.797,7
19.089,72.868,31.71,74.797,16
25.591,85.088,31.71,74.797,11
33.987,74.774,31.71,74.797,14
28.567,77.103,30.2715,74.7458,3
23.077,72.635,30.673,76.789,23
12.95,77.668,30.673,76.789,19
30.19,78.18,30.673,76.789,2
28.567,77.103,30.673,76.789,167
32.165,76.2601,30.673,76.789,6
17.453,78.468,30.673,76.789,8
22.655,88.447,30.673,76.789,23
31.877,77.154,30.673,76.789,18
34.1425,77.5555,30.673,76.789,4
19.089,72.868,30.673,76.789,41
18.582,73.92,30.673,76.789,3
31.082,77.068,30.673,76.789,6
33.987,74.774,30.673,76.789,13
23.077,72.635,26.681,88.329,13
12.95,77.668,26.681,88.329,21
