id,Label,latitude,longitude
DEL,Delhi,28.567,77.103
BOM,Mumbai,19.089,72.868
CCU,Kolkata,22.655,88.447
MAA,Chennai,12.907,80.122
IXA,Agartala,23.887,91.24
AGX,Agatti,10.824,72.176
AMD,Ahmedabad,23.077,72.635
BHU,Bhavnagar,21.752,72.185
PBD,Porbandar,21.649,69.657
JGA,Jamnagar,22.466,70.013
RAJ,Rajkot,22.309,70.78
BHJ,Bhuj,23.288,69.67
IXY,Kandla,23.113,70.1
STV,Surat,21.114,72.742
BDQ,Vadodara,22.336,73.226
AJL,Aizwal,23.841,92.62
AGR,Agra,27.156,77.961
IXD,Allahabad,25.44,81.734
GOP,Gorakhpur,26.74,83.45
QAH,Hindon,28.708,77.359
KNU,Kanpur,26.441,80.365
LKO,Lucknow,26.761,80.889
VNS,Varanasi,25.452,82.859
AIP,Adampur,31.434,75.759
ATQ,Amritsar,31.71,74.797
BUP,Bathinda,30.2715,74.7458
IXC,Chandigarh,30.673,76.789
IXB,Bagdogra,26.681,88.329
RDP,Durgapur,23.583,87.34
BLR,Bangalore,12.95,77.668
IXG,Belgaum,15.859,74.618
HBX,Hubli,15.362,75.085
IXE,Mangalore,12.961,74.89
VDY,Vidyanagar,15.1785,76.6282
MYQ,Mysore,12.307,76.65
BHO,Bhopal,23.287,77.337
GWL,Gwalior,26.293,78.228
IDR,Indore,22.7281,75.8042
HJR,Khajuraho,24.817,79.919
JLR,Jabalpur,23.178,80.052
BBI,Bhubaneshwar,20.244,85.818
JRG,Jharsuguda,21.914,84.05
CCJ,Calicut,11.137,75.955
COK,Cochin,10.152,76.402
CNN,Kannur,11.9171,75.547
TRV,Trivandrum,8.4834,76.9198
CJB,Coimbatore,11.03,77.043
IXM,Madurai,9.835,78.093
TRZ,Trichy,10.7618,78.709
TCR,Tuticorin,8.724,78.026
SXV,Salem,11.783,78.066
DED,Dehradun,30.19,78.18
NNS,Pithoragarh,29.5967,80.2363
DIB,Dibrugarh,27.484,95.017
GAU,Guwahati,26.106,91.586
JRH,Jorhat,26.732,94.176
IXS,Silchar,24.913,92.979
TEZ,Tezpur,26.709,92.785
IXI,Lilabari,27.295,94.098
DMU,Dimapur,25.884,93.771
GAY,Gaya,24.744,84.951
PAT,Patna,25.591,85.088
GOI,Goa,15.381,73.831
BPM,Hyderabad,17.453,78.468
IMF,Imphal,24.76,93.897
BKB,Bikaner,28.0556,73.1963
JAI,Jaipur,26.824,75.812
JSA,Jaisalmer,26.889,70.865
JDH,Jodhpur,26.251,73.049
KQH,Kishangarh,26.5894,74.8171
UDR,Udaipur,24.618,73.896
IXJ,Jammu,32.689,74.837
SXR,Srinagar,33.987,74.774
IXU,Aurangabad,19.863,75.398
KLH,Kolhapur,16.665,74.289
NAG,Nagpur,21.0901,79.0548
PNQ,Pune,18.582,73.92
SAG,Shirdi,19.6924,74.3941
ISK,Nashik,20.1129,73.8938
NDC,Nanded,19.1833,77.3347
JLG,Jalgaon,20.9614,75.6192
IXZ,Port Blair,11.641,92.73
JGB,Jagdalpur,19.074,82.037
RPR,Raipur,21.18,81.739
CDP,Cuddapah,14.51,78.773
RJA,Rajahmundry,17.11,81.818
TIR,Tirupathi,13.634,79.5443
VGA,Vijaywada,16.53,80.797
VTZ,Visakhapatnam,17.7285,83.2236
IXR,Ranchi,23.3173,85.3251
SHL,Shillong,25.7062,91.9751
DHM,Dharamshala,32.165,76.2601
KUU,Kullu,31.877,77.154
SLV,Shimla,31.082,77.068
DIU,Diu,20.713,70.921
IXL,Leh,34.1425,77.5555
VI57,Thoise,34.653,77.376
IXT,Passighat,28.066,95.336
PYG,Pakyong,27.231,88.587
PNY,Pondicherry,11.969,79.81
IXG2,Belagavi,15.8631,74.6114
CDP2,Kadapa,14.5184,78.768
RDP2,Andal,23.6179,87.2401
LUH,Ludhiana,30.855,75.953
IXP,Pathankot,32.234,75.635
PGH,Patnagar,29.0335,79.469
DHM2,Kangra,32.165,76.263
 VI2B,Meerut,28.905,77.677
IXX,Bidar,17.908,77.487
PGH,Pantnagar,29.03,79.46
