Airport Names	Airport(Arrival)	Frequency per week
Agartala	Bangalore	7
Agartala	Delhi	7
Agartala	Guwahati	25
Agartala	Imphal	7
Agartala	Kolkata	77
Agatti	Cochin	14
Ahmedabad	Aurangabad	13
Ahmedabad	Bagdogra	13
Ahmedabad	Bangalore	76
Ahmedabad	Belgaum	7
Ahmedabad	Bhavnagar	6
Ahmedabad	Bhopal	14
Ahmedabad	Bhubaneshwar	7
Ahmedabad	Chandigarh	27
Ahmedabad	Chennai	55
Ahmedabad	Cochin	14
Ahmedabad	Dehradun	13
Ahmedabad	Delhi	172
Ahmedabad	Diu	6
Ahmedabad	Goa	27
Ahmedabad	Guwahati	6
Ahmedabad	Hubli	7
Ahmedabad	Hyderabad	59
Ahmedabad	Indore	40
Ahmedabad	Jabalpur	6
Ahmedabad	Jaipur	39
Ahmedabad	Jaisalmer	12
Ahmedabad	Jalgaon	7
Ahmedabad	Jodhpur	13
Ahmedabad	Kandla	13
Ahmedabad	Kanpur	6
Ahmedabad	Kishangarh	6
Ahmedabad	Kolkata	29
Ahmedabad	Lucknow	29
Ahmedabad	Meerut	6
Ahmedabad	Mumbai	88
Ahmedabad	Nagpur	13
Ahmedabad	Nashik	13
Ahmedabad	Patna	6
Ahmedabad	Porbandar	7
Ahmedabad	Pune	41
Ahmedabad	Srinagar	7
Ahmedabad	Udaipur	6
Ahmedabad	Varanashi	20
Bhavnagar	Ahmedabad	6
Bhavnagar	Surat	6
Porbandar	Ahmedabad	7
Porbandar	Mumbai	7
Jammnagar	Mumbai	7
Rajkot	Delhi	14
Rajkot	Mumbai	21
Bhuj	Mumbai	7
Kandla	Ahmedabad	12
Kandla	Mumbai	7
Surat	Bangalore	14
Surat	Bhavnagar	6
Surat	Chennai	14
Surat	Delhi	42
Surat	Goa	21
Surat	Hyderabad	14
Surat	Jaipur	10
Surat	Jaisalmer	7
Surat	Kolkata	28
Surat	Mumbai	7
Surat	Nagpur	7
Surat	Udaipur	7
Vadodara	Bangalore	15
Vadodara	Delhi	49
Vadodara	Hyderabad	7
Vadodara	Mumbai	22
Vadodara	Nagpur	14
Aizawal	Guwahati	14
Aizawal	Imphal	4
Aizawal	Kolkata	21
Agra	Jaipur	4
Allahabad	Bhopal	7
Allahabad	Bangalore	7
Allahabad	Delhi	28
Allahabad	Kolkata	21
Allahabad	Mumbai	7
Allahabad	Raipur	21
Gorakhpur	Bangalore	7
Gorakhpur	Delhi	14
Gorakhpur	Hyderabad	7
Gorakhpur	Kolkata	7
Gorakhpur	Mumbai	7
Hindon	Hubli	3
Hindon	Pithoragarh	7
Kanpur	Ahmedabad	6
Kanpur	Delhi	7
Kanpur	Mumbai	14
Lucknow	Ahmedabad	36
Lucknow	Bangalore	41
Lucknow	Chennai	7
Lucknow	Dehradun	6
Lucknow	Delhi	147
Lucknow	Goa	8
Lucknow	Hyderabad	20
Lucknow	Kolkata	28
Lucknow	Mumbai	63
Lucknow	Patna	14
Lucknow	Pune	7
Lucknow	Srinagar	7
Varanashi	Ahmedabad	19
Varanashi	Ahmedabad	13
Varanashi	Bangalore	27
Varanashi	Bhubaneshwar	7
Varanashi	Chennai	18
