Source,Target,Frequency per week,,Distance (Km)
Bangalore,Agartala,7,,1876.127499
Delhi,Agartala,7,,1501.792494
Guwahati,Agartala,25,,249.1927731
Imphal,Agartala,7,,286.1781205
Kolkata,Agartala,77,,316.475118
Cochin,Agatti,14,,468.055701
Aurangabad,Ahmedabad,13,,457.6388426
Bagdogra,Ahmedabad,13,,1631.807618
Bangalore,Ahmedabad,76,,1245.108848
Belgaum,Ahmedabad,7,,829.0447398
Bhavnagar,Ahmedabad,6,,154.4237389
Bhopal,Ahmedabad,14,,481.1696769
Bhubaneshwar,Ahmedabad,7,,1397.718078
Chandigarh,Ahmedabad,27,,939.5276775
Chennai,Ahmedabad,55,,1379.684312
Cochin,Ahmedabad,14,,1491.899683
Dehradun,Ahmedabad,13,,963.6418914
Delhi,Ahmedabad,172,,756.5583882
Diu,Ahmedabad,6,,316.8022227
Goa,Ahmedabad,27,,864.901087
Guwahati,Ahmedabad,6,,1943.636937
Hubli,Ahmedabad,7,,895.5309335
Hyderabad,Ahmedabad,59,,872.2568416
Indore,Ahmedabad,40,,326.9217614
Jabalpur,Ahmedabad,6,,758.4527283
Jaipur,Ahmedabad,39,,525.4713281
Jaisalmer,Ahmedabad,12,,459.8659178
Jalgaon,Ahmedabad,7,,387.2377803
Jodhpur,Ahmedabad,13,,355.4024791
Kandla,Ahmedabad,13,,259.3157794
Kanpur,Ahmedabad,6,,865.2700555
Kishangarh,Ahmedabad,6,,448.3315681
Kolkata,Ahmedabad,29,,1619.9399
Lucknow,Ahmedabad,29,,927.3739252
Meerut,Ahmedabad,6,,820.678142
Mumbai,Ahmedabad,88,,444.103412
Nagpur,Ahmedabad,13,,697.3058004
Nashik,Ahmedabad,13,,354.350337
Patna,Ahmedabad,6,,1291.715629
Porbandar,Ahmedabad,7,,344.937845
Pune,Ahmedabad,41,,517.3420315
Srinagar,Ahmedabad,7,,1230.899734
Udaipur,Ahmedabad,6,,214.0247443
Varanasi,Ahmedabad,20,,1069.19994
Ahmedabad,Bhavnagar,6,,154.4237389
Surat,Bhavnagar,6,,91.41427831
Ahmedabad,Porbandar,7,,344.937845
Mumbai,Porbandar,7,,439.3619778
Mumbai,Jamnagar,7,,478.6071268
Delhi,Rajkot,14,,941.5917479
Mumbai,Rajkot,21,,418.7486563
Mumbai,Bhuj,7,,572.5910058
Ahmedabad,Kandla,12,,259.3157794
Mumbai,Kandla,7,,531.6143342
Bangalore,Surat,14,,1047.74439
Bhavnagar,Surat,6,,91.41427831
Chennai,Surat,14,,1202.977567
Delhi,Surat,42,,938.0763735
Goa,Surat,21,,647.7593489
Hyderabad,Surat,14,,725.7374036
Jaipur,Surat,10,,707.3159137
Jaisalmer,Surat,7,,669.8220564
Kolkata,Surat,28,,1628.728459
Mumbai,Surat,7,,225.5537409
Nagpur,Surat,7,,654.8413402
Udaipur,Surat,7,,407.1633743
Bangalore,Vadodara,15,,1144.620479
Delhi,Vadodara,49,,794.5524686
Hyderabad,Vadodara,7,,771.3263266
Mumbai,Vadodara,22,,362.964124
Nagpur,Vadodara,14,,617.826546
